Minimums	Eclipse_#	O-C	O-C_Error
2459412.27313	7248.5	-0.05173	0.00041
2459412.42939	7249.0	-0.05196	0.00042
2459412.58625	7249.5	-0.05158	0.00051
2459412.74255	7250.0	-0.05177	0.00057
2459412.89922	7250.5	-0.05159	0.00058
2459413.05537	7251.0	-0.05192	0.00040
2459413.21246	7251.5	-0.05131	0.00040
2459413.36872	7252.0	-0.05154	0.00046
2459413.52531	7252.5	-0.05143	0.00061
2459413.68136	7253.0	-0.05187	0.00038
2459413.83850	7253.5	-0.05121	0.00069
2459413.99430	7254.0	-0.05190	0.00044
2459414.15077	7254.5	-0.05192	0.00053
2459414.30724	7255.0	-0.05193	0.00043
2459414.46378	7255.5	-0.05188	0.00040
2459414.62039	7256.0	-0.05175	0.00047
2459414.77705	7256.5	-0.05157	0.00047
2459414.93327	7257.0	-0.05184	0.00057
2459415.08984	7257.5	-0.05176	0.00040
2459415.24623	7258.0	-0.05184	0.00059
2459415.40285	7258.5	-0.05171	0.00044
2459415.55915	7259.0	-0.05189	0.00053
2459415.71598	7259.5	-0.05156	0.00043
2459415.87184	7260.0	-0.05218	0.00050
2459416.02873	7260.5	-0.05177	0.00040
2459416.18556	7261.0	-0.05142	0.00058
2459416.34188	7261.5	-0.05160	0.00038
2459416.49779	7262.0	-0.05217	0.00053
2459416.81111	7263.0	-0.05182	0.00046
2459416.96795	7263.5	-0.05146	0.00047
2459417.12398	7264.0	-0.05192	0.00049
2459417.28089	7264.5	-0.05149	0.00060
2459417.43703	7265.0	-0.05184	0.00048
2459417.59375	7265.5	-0.05160	0.00044
2459417.74991	7266.0	-0.05193	0.00048
2459417.90683	7266.5	-0.05150	0.00081
2459418.06285	7267.0	-0.05196	0.00042
2459418.21990	7267.5	-0.05140	0.00057
2459418.37578	7268.0	-0.05200	0.00043
2459418.53292	7268.5	-0.05134	0.00064
2459418.68889	7269.0	-0.05186	0.00040
2459420.09877	7273.5	-0.05035	0.00104
2459420.25423	7274.0	-0.05137	0.00079
2459420.41047	7274.5	-0.05162	0.00091
2459420.56728	7275.0	-0.05129	0.00064
2459420.72335	7275.5	-0.05171	0.00101
2459420.87844	7276.0	-0.05310	0.00050
2459421.19188	7277.0	-0.05263	0.00077
2459421.50541	7278.0	-0.05207	0.00062
2459421.81870	7279.0	-0.05175	0.00048
2459422.13208	7280.0	-0.05134	0.00070
2459422.44509	7281.0	-0.05130	0.00076
2459422.75761	7282.0	-0.05175	0.00057
2459423.07056	7283.0	-0.05177	0.00038
2459423.38326	7284.0	-0.05204	0.00039
2459423.69696	7285.0	-0.05131	0.00046
2459424.00907	7286.0	-0.05217	0.00099
2459424.32171	7287.0	-0.05250	0.00039
2459424.63481	7288.0	-0.05237	0.00043
2459424.94903	7289.0	-0.05112	0.00053
2459425.26086	7290.0	-0.05226	0.00039
2459425.57397	7291.0	-0.05212	0.00076
2459425.88741	7292.0	-0.05165	0.00095
2459426.51334	7294.0	-0.05165	0.00089
2459426.82659	7295.0	-0.05138	0.00067
2459427.13872	7296.0	-0.05222	0.00045
2459427.45192	7297.0	-0.05199	0.00039
2459427.76501	7298.0	-0.05187	0.00048
2459428.07802	7299.0	-0.05183	0.00040
2459428.39096	7300.0	-0.05186	0.00048
2459428.70393	7301.0	-0.05186	0.00038
2459429.01637	7302.0	-0.05239	0.00076
2459429.32990	7303.0	-0.05183	0.00095
2459429.64293	7304.0	-0.05177	0.00050
2459429.95701	7305.0	-0.05065	0.00068
2459430.26882	7306.0	-0.05182	0.00080
2459430.58088	7307.0	-0.05273	0.00045
2459430.89414	7308.0	-0.05244	0.00084
2459431.20731	7309.0	-0.05223	0.00091
2459431.52107	7310.0	-0.05145	0.00050
2459431.83410	7311.0	-0.05139	0.00051
2459432.14630	7312.0	-0.05216	0.00047
2459432.45935	7313.0	-0.05208	0.00039
2459434.02364	7318.0	-0.05264	0.00061
2459434.33754	7319.0	-0.05171	0.00073
2459434.65001	7320.0	-0.05221	0.00080
2459434.96495	7321.0	-0.05024	0.00066
2459435.27471	7322.0	-0.05345	0.00049
2459435.58862	7323.0	-0.05250	0.00078
2459435.90120	7324.0	-0.05290	0.00087
2459436.21541	7325.0	-0.05166	0.00055
2459436.52859	7326.0	-0.05145	0.00040
2459436.84069	7327.0	-0.05232	0.00062
2459437.15377	7328.0	-0.05221	0.00045
2459437.46667	7329.0	-0.05227	0.00048
2459437.77995	7330.0	-0.05197	0.00048
2459438.09301	7331.0	-0.05188	0.00055
2459438.40516	7332.0	-0.05270	0.00074
2459438.71850	7333.0	-0.05233	0.00039
2459439.03174	7334.0	-0.05205	0.00047
2459439.34559	7335.0	-0.05118	0.00061
2459439.65767	7336.0	-0.05207	0.00060
2459439.96896	7337.0	-0.05375	0.00039
2459440.28237	7338.0	-0.05331	0.00083
2459440.59624	7339.0	-0.05241	0.00057
2459440.90986	7340.0	-0.05176	0.00088
2459441.22287	7341.0	-0.05172	0.00074
2459441.53509	7342.0	-0.05247	0.00044
2459441.84803	7343.0	-0.05249	0.00043
